ID	SENTENCE_ID	YEAR	TEXT	GENRE	CLAUSE_TYPE	SUBJTOP-V	V-SUBJTOP	XP-V-SUBJTOP
129	1150.HOMILIUBOK.REL-SER,.1276	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
130	1150.HOMILIUBOK.REL-SER,.1283	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
131	1150.HOMILIUBOK.REL-SER,.1284	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
132	1150.HOMILIUBOK.REL-SER,.1291	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	1	0
133	1150.HOMILIUBOK.REL-SER,.1303	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
134	1150.HOMILIUBOK.REL-SER,.1307	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
135	1150.HOMILIUBOK.REL-SER,.1308	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
136	1150.HOMILIUBOK.REL-SER,.1314	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
137	1150.HOMILIUBOK.REL-SER,.131	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
138	1150.HOMILIUBOK.REL-SER,.1326	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
139	1150.HOMILIUBOK.REL-SER,.1327	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
140	1150.HOMILIUBOK.REL-SER,.1328	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
141	1150.HOMILIUBOK.REL-SER,.1329	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
142	1150.HOMILIUBOK.REL-SER,.1335	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
143	1150.HOMILIUBOK.REL-SER,.1340	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
144	1150.HOMILIUBOK.REL-SER,.1343	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
145	1150.HOMILIUBOK.REL-SER,.1345	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
146	1150.HOMILIUBOK.REL-SER,.1347	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
147	1150.HOMILIUBOK.REL-SER,.134	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
148	1150.HOMILIUBOK.REL-SER,.1353	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
149	1150.HOMILIUBOK.REL-SER,.1356	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
150	1150.HOMILIUBOK.REL-SER,.1360	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
151	1150.HOMILIUBOK.REL-SER,.1363	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
152	1150.HOMILIUBOK.REL-SER,.1366	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
153	1150.HOMILIUBOK.REL-SER,.1367	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
154	1150.HOMILIUBOK.REL-SER,.1369	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
155	1150.HOMILIUBOK.REL-SER,.1371	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
156	1150.HOMILIUBOK.REL-SER,.1372	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
157	1150.HOMILIUBOK.REL-SER,.1373	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
158	1150.HOMILIUBOK.REL-SER,.1377	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
159	1150.HOMILIUBOK.REL-SER,.1378	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
160	1150.HOMILIUBOK.REL-SER,.1379	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
161	1150.HOMILIUBOK.REL-SER,.1382	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
162	1150.HOMILIUBOK.REL-SER,.1384	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
163	1150.HOMILIUBOK.REL-SER,.1387	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
164	1150.HOMILIUBOK.REL-SER,.1391	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
165	1150.HOMILIUBOK.REL-SER,.1392	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
166	1150.HOMILIUBOK.REL-SER,.1396	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
167	1150.HOMILIUBOK.REL-SER,.1398	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
168	1150.HOMILIUBOK.REL-SER,.1400	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
169	1150.HOMILIUBOK.REL-SER,.1404	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
170	1150.HOMILIUBOK.REL-SER,.1405	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
171	1150.HOMILIUBOK.REL-SER,.1411	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
172	1150.HOMILIUBOK.REL-SER,.141	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
173	1150.HOMILIUBOK.REL-SER,.1423	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
